1	0.625631
2	0.178644
3	0.123001
4	0.093434
5	0.077377
6	0.067895
7	0.065085
8	0.058308
9	0.058993
10	0.053294
11	0.053990
12	0.049744
13	0.053718
14	0.051281
15	0.054082
16	0.054362
17	0.050561
18	0.047234
19	0.049426
20	0.052438
21	0.047294
22	0.049540
23	0.047488
24	0.046899
25	0.046142
26	0.045439
27	0.045609
28	0.042665
29	0.044921
30	0.047738
31	0.048004
32	0.047792
33	0.047878
34	0.043357
35	0.044280
36	0.041900
37	0.044644
38	0.042192
39	0.044832
40	0.042743
41	0.041504
42	0.041228
43	0.042174
44	0.044081
45	0.043903
46	0.042695
47	0.041849
48	0.047459
49	0.045074
50	0.041445
