1	3.110637
2	2.786819
3	2.643355
4	2.628838
5	2.579023
6	2.523007
7	2.312237
8	2.189335
9	2.105996
10	2.096813
11	2.067326
12	2.034154
13	2.006650
14	2.010284
15	1.973856
16	1.960217
17	1.954787
18	1.910009
19	1.933538
20	1.900903
21	1.886369
22	1.900747
23	1.879130
24	1.885661
25	1.891954
26	1.883633
27	1.874229
28	1.882291
29	1.884580
30	1.879021
31	1.871065
32	1.882074
33	1.859127
34	1.869935
35	1.870816
36	1.865937
37	1.853057
38	1.827340
39	1.848005
40	1.858239
41	1.877171
42	1.817121
43	1.807349
44	1.836167
45	1.852087
46	1.792235
47	1.838310
48	1.818642
49	1.818360
50	1.845280
