1	307.997959
2	6.961851
3	0.981084
4	0.724323
5	0.641242
6	0.570829
7	0.546015
8	0.652029
9	0.588297
10	0.555571
11	0.498655
12	0.485551
13	0.460312
14	0.451729
15	0.451811
16	0.435030
17	0.439519
18	0.446349
19	0.435862
20	0.441605
21	0.441116
22	0.435396
23	0.432943
24	0.433141
25	0.432270
26	0.435835
27	0.430230
28	0.477203
29	0.445209
30	0.445815
31	0.562125
32	0.493949
33	0.480237
34	0.457409
35	0.436493
36	0.427974
37	0.420271
38	0.411471
39	0.415010
40	0.425559
41	0.410623
42	0.405667
43	0.413340
44	0.397610
45	0.400523
46	0.403684
47	0.396535
48	0.395842
49	0.394289
50	0.386057
