model_name	n_params	final_loss	final_w2_error	train_time_s	status
MLP_baseline	4546	0.040725	0.208706	39.7	OK
ScCP_UNN_L1_LFO_K20	4501	0.054762	0.289320	110.2	OK
ScCP_UNN_L1_LNO_K20	3240	0.032936	0.164875	141.4	OK
ScCP_UNN_L1_LFO_K15	3376	0.054662	0.264908	90.0	OK
ScCP_UNN_L1_LNO_K15	2430	0.032986	0.178224	115.8	OK
DFB_UNN_L1_LFO_K20	5020	0.083755	0.330482	121.0	OK
DFB_UNN_L1_LNO_K20	3720	0.051574	0.234343	129.3	OK
DFB_UNN_L1_LFO_K15	3765	0.129576	0.436931	94.6	OK
DFB_UNN_L1_LNO_K15	2790	0.050642	0.238237	111.0	OK
