1	2.895238
2	2.718492
3	2.684897
4	2.738574
5	2.771031
6	2.706982
7	2.714836
8	2.696707
9	2.684015
10	2.667650
11	2.737972
12	2.670247
13	2.712896
14	2.696929
15	2.688267
16	2.715219
17	2.692934
18	2.697462
19	2.716801
20	2.697256
21	2.707101
22	2.740501
23	2.762479
24	2.679067
25	2.724046
26	2.738602
27	2.709991
28	2.751937
29	2.697842
30	2.712741
31	2.697097
32	2.686390
33	2.728751
34	2.709139
35	2.736227
36	2.706601
37	2.690661
38	2.695633
39	2.694211
40	2.710719
41	2.720227
42	2.678433
43	2.711747
44	2.723096
45	2.715414
46	2.672288
47	2.706234
48	2.677029
49	2.690126
50	2.717057
