1	2.648347
2	2.443229
3	2.292332
4	2.170983
5	2.143196
6	2.111967
7	2.091057
8	2.033124
9	2.000174
10	2.004027
11	1.970040
12	1.984343
13	1.992675
14	1.985719
15	1.947435
16	1.999860
17	1.972632
18	1.984751
19	1.962278
20	1.936647
21	1.940089
22	1.917271
23	1.926749
24	1.912168
25	1.925558
26	1.932691
27	1.907734
28	1.878223
29	1.908228
30	1.915966
31	1.908649
32	1.874491
33	1.882807
34	1.872623
35	1.864778
36	1.863298
37	1.885519
38	1.877409
39	1.882681
40	1.884982
41	1.864573
42	1.876432
43	1.883388
44	1.885928
45	1.849304
46	1.889892
47	1.850144
48	1.845807
49	1.869517
50	1.846668
