1	2.880386
2	2.664574
3	2.661159
4	2.630043
5	2.666601
6	2.572641
7	2.455570
8	2.280637
9	2.253368
10	2.179145
11	2.136726
12	2.128123
13	2.088175
14	2.097185
15	2.105699
16	2.061603
17	2.062796
18	2.048364
19	2.061196
20	2.023566
21	2.005165
22	2.010019
23	2.008241
24	1.992527
25	1.965010
26	1.996498
27	1.992506
28	1.989422
29	1.949834
30	1.965839
31	1.920673
32	1.924941
33	1.923160
34	1.962282
35	1.948209
36	1.930758
37	1.937975
38	1.897070
39	1.946294
40	1.940889
41	1.920851
42	1.901562
43	1.904943
44	1.859596
45	1.893030
46	1.913591
47	1.897511
48	1.863699
49	1.909989
50	1.868472
