1	2.816336
2	2.664682
3	2.549428
4	2.387709
5	2.176189
6	2.081909
7	2.054431
8	2.023434
9	2.013144
10	2.009893
11	1.952304
12	1.943246
13	1.925980
14	1.910419
15	1.905930
16	1.930981
17	1.878638
18	1.879562
19	1.870101
20	1.841122
21	1.870043
22	1.847778
23	1.836684
24	1.865432
25	1.828034
26	1.830078
27	1.817839
28	1.810829
29	1.818670
30	1.861232
31	1.814455
32	1.806160
33	1.799526
34	1.811774
35	1.836581
36	1.816259
37	1.797252
38	1.804070
39	1.824533
40	1.792635
41	1.809303
42	1.782520
43	1.813957
44	1.801078
45	1.786775
46	1.768353
47	1.799289
48	1.763237
49	1.788161
50	1.777608
