1	2.928203
2	2.708387
3	2.580825
4	2.487294
5	2.421401
6	2.313907
7	2.207257
8	2.170465
9	2.155253
10	2.163219
11	2.104412
12	2.099264
13	2.086732
14	2.107166
15	2.114083
16	2.137025
17	2.132212
18	2.112963
19	2.118465
20	2.090023
21	2.082516
22	2.074605
23	2.087463
24	2.105789
25	2.087626
26	2.094388
27	2.079274
28	2.101699
29	2.094124
30	2.087815
31	2.083016
32	2.083956
33	2.051853
34	2.069824
35	2.049916
36	2.032581
37	2.077653
38	2.067348
39	2.054716
40	2.047159
41	2.044828
42	2.055835
43	2.031372
44	2.041280
45	2.038636
46	2.010277
47	2.011777
48	2.028721
49	2.031599
50	2.035496
51	1.989767
52	2.002107
53	1.979639
54	2.021876
55	2.004646
56	2.003760
57	2.002887
58	1.975732
59	1.978843
60	2.002291
61	1.962277
62	1.957222
63	1.945066
64	1.981706
65	1.960772
66	1.984207
67	1.991703
68	1.947005
69	1.945093
70	1.970034
71	1.995555
72	1.975206
73	1.960962
74	1.952079
75	1.926416
76	1.944079
77	1.990231
78	1.940189
79	1.966983
80	1.927101
81	1.937675
82	1.951170
83	1.981800
84	1.954246
85	1.921558
86	1.938335
87	1.960645
88	1.922333
89	1.992324
90	1.935878
91	1.937909
92	1.945218
93	1.947926
94	1.931416
95	1.922315
96	1.985071
97	1.938332
98	1.923311
99	1.930645
100	1.910883
