1	68.429031
2	13.814921
3	11.933057
4	10.898479
5	10.263712
6	9.942403
7	9.663715
8	9.378257
9	9.181783
10	9.094030
11	9.018669
12	8.873958
13	8.816002
14	8.729862
15	8.605889
16	8.612624
17	8.523192
18	8.483661
19	8.418081
20	8.410897
21	8.345133
22	8.337192
23	8.291471
24	8.286077
25	8.248662
26	8.209454
27	8.237732
28	8.187229
29	8.157369
30	8.139367
31	8.165081
32	8.115325
33	8.125716
34	8.127393
35	8.080471
36	8.119816
37	8.109514
38	8.076992
39	8.063082
40	8.061131
41	8.006698
42	8.034971
43	8.030719
44	7.981469
45	8.010932
46	7.994324
47	7.955406
48	7.969733
49	7.964142
50	7.971205
