1	2.984448
2	2.759358
3	2.710828
4	2.743987
5	2.646750
6	2.627856
7	2.576030
8	2.361943
9	2.196606
10	2.142588
11	2.098604
12	2.071422
13	2.064535
14	2.060407
15	2.017218
16	2.050495
17	2.025595
18	2.043833
19	2.027839
20	2.045735
21	2.027791
22	2.004782
23	2.033443
24	1.998771
25	2.005288
26	2.013485
27	2.017283
28	1.973315
29	2.001067
30	1.990896
31	2.002296
32	1.973040
33	1.960998
34	1.981493
35	1.970798
36	1.948307
37	1.971378
38	1.973836
39	1.943809
40	1.950954
41	1.948117
42	1.936731
43	1.985165
44	1.961485
45	1.938715
46	1.952080
47	1.926858
48	1.937698
49	1.949552
50	1.910216
