1	790.062828
2	0.270542
3	0.233258
4	0.226411
5	0.215947
6	0.212829
7	0.208350
8	0.206395
9	0.202605
10	0.202857
11	0.199189
12	0.197433
13	0.196618
14	0.194765
15	0.193634
16	0.193320
17	0.192718
18	0.192991
19	0.191727
20	0.191834
21	0.190731
22	0.190911
23	0.190160
24	0.190380
25	0.188549
26	0.188941
27	0.189052
28	0.189105
29	0.188355
30	0.187722
31	0.187358
32	0.187931
33	0.187376
34	0.187108
35	0.186859
36	0.186632
37	0.186552
38	0.186900
39	0.186182
40	0.186046
41	0.185322
42	0.185712
43	0.185120
44	0.185459
45	0.184535
46	0.186144
47	0.184662
48	0.184940
49	0.184681
50	0.184356
