1	8.058075
2	2.404090
3	0.697385
4	0.287112
5	0.201417
6	0.173807
7	0.158493
8	0.159110
9	0.162157
10	0.158861
11	0.161977
12	0.156095
13	0.148921
14	0.147014
15	0.161150
16	0.157126
17	0.150087
18	0.147155
19	0.149056
20	0.146859
21	0.141732
22	0.141990
23	0.131623
24	0.130848
25	0.128940
26	0.119089
27	0.131976
28	0.127485
29	0.132208
30	0.124946
31	0.121873
32	0.134814
33	0.128673
34	0.117828
35	0.120160
36	0.112314
37	0.118355
38	0.118712
39	0.115048
40	0.114143
41	0.099926
42	0.108089
43	0.106873
44	0.099895
45	0.100602
46	0.094450
47	0.089884
48	0.085576
49	0.089405
50	0.083755
