1	0.185716
2	0.142470
3	0.129929
4	0.127481
5	0.123981
6	0.122630
7	0.121419
8	0.121591
9	0.117246
10	0.115523
11	0.112213
12	0.104552
13	0.107994
14	0.101970
15	0.102788
16	0.097837
17	0.103433
18	0.097241
19	0.097192
20	0.099923
21	0.095419
22	0.096558
23	0.094478
24	0.096415
25	0.091848
26	0.092142
27	0.087861
28	0.091672
29	0.085839
30	0.086973
31	0.082354
32	0.084413
33	0.076585
34	0.077631
35	0.081242
36	0.069484
37	0.067390
38	0.068833
39	0.067311
40	0.064433
41	0.067472
42	0.064961
43	0.063011
44	0.064295
45	0.065417
46	0.062336
47	0.061318
48	0.060296
49	0.062444
50	0.060489
