1	446.688820
2	3.136405
3	2.712041
4	2.625468
5	2.512471
6	2.454339
7	2.504826
8	2.519767
9	2.465995
10	2.432661
11	2.394772
12	2.384622
13	2.394109
14	2.467880
15	2.366523
16	2.357232
17	2.408130
18	2.351723
19	2.328003
20	2.365699
21	2.312032
22	2.273560
23	2.255736
24	2.262166
25	2.247739
26	2.281949
27	2.265951
28	2.243530
29	2.332449
30	2.222380
31	2.209458
32	2.289656
33	2.267574
34	2.284474
35	2.256434
36	2.213540
37	2.265988
38	2.284323
39	2.265168
40	2.272985
41	2.231145
42	2.245363
43	2.214831
44	2.239087
45	2.208227
46	2.181455
47	2.216103
48	2.213464
49	2.196880
50	2.192524
