1	0.147958
2	0.114608
3	0.090976
4	0.083139
5	0.071808
6	0.067767
7	0.060754
8	0.060534
9	0.057944
10	0.059016
11	0.057350
12	0.054867
13	0.053057
14	0.056176
15	0.056830
16	0.055766
17	0.055835
18	0.054125
19	0.053160
20	0.049759
21	0.048448
22	0.051059
23	0.047335
24	0.049866
25	0.047114
26	0.046789
27	0.050741
28	0.047899
29	0.048291
30	0.048849
31	0.044152
32	0.048554
33	0.045947
34	0.042765
35	0.042301
36	0.041514
37	0.040277
38	0.044842
39	0.044870
40	0.039138
41	0.041094
42	0.041962
43	0.040653
44	0.041914
45	0.041488
46	0.041677
47	0.046187
48	0.042773
49	0.039339
50	0.038821
