1	2.812997
2	2.729698
3	2.707471
4	2.645044
5	2.535977
6	2.347464
7	2.202263
8	2.148659
9	2.095957
10	2.063014
11	2.009165
12	1.992096
13	1.991694
14	1.977873
15	1.933511
16	1.918907
17	1.960471
18	1.949198
19	1.921461
20	1.913846
21	1.893798
22	1.905900
23	1.902255
24	1.899967
25	1.898079
26	1.879184
27	1.864072
28	1.896866
29	1.876215
30	1.881960
31	1.899417
32	1.884745
33	1.889378
34	1.879124
35	1.892845
36	1.849303
37	1.870156
38	1.851522
39	1.837811
40	1.862276
41	1.869453
42	1.846000
43	1.842817
44	1.854958
45	1.863374
46	1.853136
47	1.865225
48	1.834193
49	1.844786
50	1.885544
