1	0.172750
2	0.134341
3	0.122609
4	0.116402
5	0.116265
6	0.111081
7	0.109837
8	0.106867
9	0.102383
10	0.095063
11	0.099486
12	0.092833
13	0.093166
14	0.094527
15	0.090947
16	0.089816
17	0.082999
18	0.079213
19	0.076651
20	0.075532
21	0.070755
22	0.066961
23	0.062591
24	0.062205
25	0.061468
26	0.066213
27	0.062198
28	0.058087
29	0.062168
30	0.060640
31	0.058654
32	0.063874
33	0.058181
34	0.058546
35	0.056095
36	0.057049
37	0.060368
38	0.057405
39	0.053955
40	0.055304
41	0.054909
42	0.053035
43	0.053776
44	0.057215
45	0.056894
46	0.056173
47	0.052401
48	0.056856
49	0.054910
50	0.052125
