1	2.784772
2	2.679314
3	2.667733
4	2.684821
5	2.661839
6	2.657659
7	2.594067
8	2.459403
9	2.428867
10	2.275626
11	2.188844
12	2.152533
13	2.074175
14	2.062448
15	1.993144
16	1.994195
17	1.971678
18	1.946311
19	1.934622
20	1.963263
21	1.921671
22	1.941016
23	1.924369
24	1.927148
25	1.894097
26	1.864012
27	1.865471
28	1.864044
29	1.909372
30	1.884398
31	1.812113
32	1.858367
33	1.854941
34	1.826387
35	1.859657
36	1.794744
37	1.843535
38	1.831293
39	1.823188
40	1.825536
41	1.817707
42	1.811018
43	1.820589
44	1.810302
45	1.844677
46	1.775421
47	1.793949
48	1.752962
49	1.783813
50	1.772283
